000000#XeroxCor#XEROX CORPORATION
000001#XeroxCor#XEROX CORPORATION
000002#XeroxCor#XEROX CORPORATION
000003#XeroxCor#XEROX CORPORATION
000004#XeroxCor#XEROX CORPORATION
000005#XeroxCor#XEROX CORPORATION
000006#XeroxCor#XEROX CORPORATION
000007#XeroxCor#XEROX CORPORATION
000008#XeroxCor#XEROX CORPORATION
000009#XeroxCor#XEROX CORPORATION
00000A#OmronTat#OMRON TATEISI ELECTRONICS CO.
00000B#MatrixCo#MATRIX CORPORATION
00000C#CiscoInc#Cisco Systems, Inc
00000D#Fibronic#FIBRONICS LTD.
00000E#FujitsuL#FUJITSU LIMITED
00000F#Next#NEXT, INC.
000010#Hughes#NEXT, INC.
000011#Tektrnix#NEXT, INC.
000012#Informat#INFORMATION TECHNOLOGY LIMITED
000013#Camex#CAMEX
000014#Netronix#NETRONIX
000015#Datapoin#DATAPOINT CORPORATION
000016#DuPontPi#DU PONT PIXEL SYSTEMS.
000017#Oracle#Oracle
000018#WebsterC#WEBSTER COMPUTER CORPORATION
000019#AppliedD#APPLIED DYNAMICS INTERNATIONAL
00001A#AMD#APPLIED DYNAMICS INTERNATIONAL
00001B#Novell#NOVELL INC.
00001C#BellTech#BELL TECHNOLOGIES
00001D#Cabletro#Cabletron Systems, Inc.
00001E#TelsistI#TELSIST INDUSTRIA ELECTRONICA
00001F#Telco#Telco Systems, Inc.
000020#DIAB#Telco Systems, Inc.
000021#SC&C#Telco Systems, Inc.
000022#VisualTe#VISUAL TECHNOLOGY INC.
000023#AbbIndus#ABB INDUSTRIAL SYSTEMS AB
000024#Olicom#ABB INDUSTRIAL SYSTEMS AB
000025#Ramtek#RAMTEK CORP.
000026#Sha-Ken#SHA-KEN CO., LTD.
000027#JapanRad#JAPAN RADIO COMPANY
000028#ProdigyC#PRODIGY SYSTEMS CORPORATION
000029#ImcNetwo#IMC NETWORKS CORP.
00002A#Trw-Sedd#TRW - SEDD/INP
00002B#CrispAut#CRISP AUTOMATION, INC
00002C#Autotote#AUTOTOTE LIMITED
00002D#Chromati#CHROMATICS INC
00002E#SocieteE#SOCIETE EVIRA
00002F#Timeplex#TIMEPLEX INC.
000030#VgLabora#VG LABORATORY SYSTEMS LTD
000031#QpsxComm#QPSX COMMUNICATIONS PTY LTD
000032#MarconiP#Marconi plc
000033#EganMach#EGAN MACHINERY COMPANY
000034#NetworkR#NETWORK RESOURCES CORPORATION
000035#Spectrag#SPECTRAGRAPHICS CORPORATION
000036#AtariCor#ATARI CORPORATION
000037#OxfordMe#OXFORD METRICS LIMITED
000038#CssLabs#CSS LABS
000039#ToshibaC#TOSHIBA CORPORATION
00003A#ChyronCo#CHYRON CORPORATION
00003B#IControl#i Controls, Inc.
00003C#Auspex#AUSPEX SYSTEMS INC.
00003D#AT&T#AUSPEX SYSTEMS INC.
00003E#Simpact#SIMPACT
00003F#Syntrex#SYNTREX, INC.
000040#Applicon#APPLICON, INC.
000041#IceCorpo#ICE CORPORATION
000042#MetierMa#METIER MANAGEMENT SYSTEMS LTD.
000043#MicroTec#MICRO TECHNOLOGY
000044#Castelle#CASTELLE CORPORATION
000045#FordAero#FORD AEROSPACE & COMM. CORP.
000046#ISC-BR#FORD AEROSPACE & COMM. CORP.
000047#NicoletI#NICOLET INSTRUMENTS CORP.
000048#SeikoEps#SEIKO EPSON CORPORATION
000049#ApricotC#APRICOT COMPUTERS, LTD
00004A#AdcCoden#ADC CODENOLL TECHNOLOGY CORP.
00004B#APT#ADC CODENOLL TECHNOLOGY CORP.
00004C#NecCorpo#NEC CORPORATION
00004D#DciCorpo#DCI CORPORATION
00004E#AmpexCor#AMPEX CORPORATION
00004F#Logicraf#LOGICRAFT, INC.
000050#RadisysC#RADISYS CORPORATION
000051#HobElect#HOB ELECTRONIC GMBH & CO. KG
000052#Intrusio#Intrusion.com, Inc.
000053#Compucor#COMPUCORP
000054#Schneide#Schneider Electric
000055#AT&T#Schneider Electric
000056#DrBStruc#DR. B. STRUCK
000057#Scitex#SCITEX CORPORATION LTD.
000058#RacoreCo#RACORE COMPUTER PRODUCTS INC.
000059#HelligeG#Hellige GMBH
00005A#Syskonne#SysKonnect GmbH
00005B#EltecEle#ELTEC ELEKTRONIK AG
00005C#Telemati#TELEMATICS INTERNATIONAL INC.
00005D#CsTeleco#CS TELECOM
00005E#IcannIan#ICANN, IANA Department
00005F#Sumitomo#Sumitomo Electric Industries,Ltd
000060#KontronE#KONTRON ELEKTRONIK GMBH
000061#GatewayC#GATEWAY COMMUNICATIONS
000062#Hneywell#Honeywell
000063#HP#Honeywell
000064#Yokogawa#Yokogawa Electric Corporation
000065#NetworkG#Network General Corporation
